timestamp,Balancer stETH Stable Pool Growth of a ETH,Balancer rETH Stable Pool Growth of a ETH,Balancer rsETH / ETHx Growth of a ETH,Balancer osETH/wETH StablePool Growth of a ETH,Balancer wstETH-WETH Stable Pool Growth of a ETH,Balancer ETHx/wstETH Growth of a ETH,Balancer swETH-WETH Stable Pool Growth of a ETH,Balancer weETH/rETH StablePool Growth of a ETH,Balancer ezETH-WETH Stable Pool Growth of a ETH,Balancer weETH/ezETH/rswETH Growth of a ETH,Gyroscope ECLP wstETH/wETH Growth of a ETH,Gyroscope ECLP wstETH/cbETH Growth of a ETH,balETH
2024-07-27 20:31:59,1.000132511551538,1.00121782774275,1.0040785613963326,1.000989037518681,1.0011957841164403,1.0046697684573245,1.0004277080780144,1.0020661222573963,1.0013665998225423,0.9979509253783274,1.003284293888133,1.0022066245177073,1.0033423645343666
2024-07-28 02:28:47,1.000132511551538,1.0012389342321129,1.0041232163823925,1.0010103376809578,1.0012130961644068,1.0046992449628687,1.000328032966017,1.0020946191078144,1.00140310250542,0.9979684750992583,1.0033364583856668,1.0020425433290228,1.0034037313136337
2024-07-28 08:25:47,1.000099196683872,1.0012737891858225,1.004192298754192,1.0010316100294367,1.0011788057932272,1.0047475045624645,1.0001935350852291,1.0021345255048553,1.001466312459458,0.997223194868754,1.003342709420854,1.0020189677857956,1.0034576542461262
2024-07-28 14:22:11,1.000140954103561,1.001316583508344,1.0042872551065227,1.0010870641639578,1.0012277238885692,1.0048632534212203,1.0000308370765552,1.0021534599368207,1.0015136253401664,0.9972619648043825,1.003438664321192,1.0020933401588232,1.0035114923331876
2024-07-28 20:17:59,1.000140954103561,1.0013374093588763,1.0041625789489508,1.001108269411198,1.001233261137584,1.0047505967060815,0.9996078053880427,1.002131153220221,1.001614272107289,0.9972841101262162,1.0034423090176021,1.002070144674969,1.003565245546571
2024-07-29 02:13:47,1.0001409561330719,1.001375875746881,1.0042310872565676,1.0011302725329017,1.0012980578905382,1.0047722525402678,1.0012628943249646,1.0021544755745684,1.0016522305071192,0.9972569109659224,1.00351296705831,1.0022973703182674,1.0034011201498336
2024-07-29 08:11:23,1.0002434378621412,1.0014099760680755,1.0042986573169734,1.0011516932946667,1.0014428578017114,1.0049156442676175,1.000491624746566,1.0021935641939859,1.001752579637969,0.9974259660584687,1.0037017286352352,1.0024542927116364,1.0034011201498336
2024-07-29 14:07:35,1.000282258351874,1.0014144923652686,1.0043617042870172,1.001156697660496,1.0015153793027476,1.0050001925891794,1.000701612544653,1.0022209629440197,1.0018030436271186,1.0001083664226584,1.003777159292989,1.002519900016347,1.0034011201498336
2024-07-29 20:03:35,1.0002822866749206,1.001186652703352,1.004419106434205,1.0011697787617602,1.0015288906882587,1.0050293584515804,1.0006313129705338,1.0023850959504135,1.0020446313580722,1.0002171789076486,1.003783960011751,1.00264198135961,1.0034011201498336
2024-07-30 02:00:35,1.0002822866749206,1.0012055053254603,1.0044160772278157,1.001190904250636,1.0015647872348812,1.0050147964669398,1.0012397540113642,1.0023975123226538,1.0020594983787534,1.0002352556195624,1.00379743107551,1.002708707947662,1.0036636643174555
