event_idx,destination_in,destination_out,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,failed,error
2025-04-08 17:02:47+00:00,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0xbB2d2dd491204a86ec10a1a6972F940B34fE060e,22225549,64072.85118278624,rebalance_plan_1744131598_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.02014658866846255,0.05025331836595841,Curve Strategic Ethena Reserves,Curve.fi Strategic USD Reserves,curve,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x4f493B7dE8aAC7d55F71853688b1F7C8F0243C85,0.011073118481582878,0.010167704996572713,0.011100546923315857,0.024829504149862736,22225549,22440049,22654549,False,
2025-04-05 04:07:11+00:00,0xbB2d2dd491204a86ec10a1a6972F940B34fE060e,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22200224,24208.2974,rebalance_plan_1743825875_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.02380929628626549,Curve.fi Strategic USD Reserves,autoUSD,tokemak,curve,0x4f493B7dE8aAC7d55F71853688b1F7C8F0243C85,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.010920942910076947,0.010561712660460687,22200224,22414724,22629224,False,
2025-04-04 15:57:35+00:00,0xbB2d2dd491204a86ec10a1a6972F940B34fE060e,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22196597,25503.391475,rebalance_plan_1743782101_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.023970154942231522,Curve.fi Strategic USD Reserves,autoUSD,tokemak,curve,0x4f493B7dE8aAC7d55F71853688b1F7C8F0243C85,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.010747278826435558,0.010576437636812264,22196597,22411097,22625597,False,
2025-04-04 17:11:35+00:00,0x7583b1589aDD33320366A48A92794D77763FAE9e,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22196965,19127.5436,rebalance_plan_1743786510_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.0057332947301985265,Curve.fi Factory Plain Pool: crvUSD/USDT,autoUSD,tokemak,curve,0x390f3595bCa2Df7d23783dFd126427CCeb997BF4,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.004294891946067025,0.004192766127760983,22196965,22411465,22625965,False,
2025-04-03 19:30:11+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xb6E89d23d1E33537D383622B1955EbDa135c0b5A,22190481,100.11875185482108,rebalance_plan_1743708477_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.06140843537859868,0.0,autoUSD,Staked USDe,none,tokemak,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,0.04439934386122535,0.050760608707050014,0.0,0.0,22190481,22404981,22619481,False,
2025-04-07 01:58:47+00:00,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x7583b1589aDD33320366A48A92794D77763FAE9e,22213896,29882.91390295747,rebalance_plan_1743990962_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.006775409149869904,0.05232748867938623,Curve Strategic Ethena Reserves,Curve.fi Factory Plain Pool: crvUSD/USDT,curve,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x390f3595bCa2Df7d23783dFd126427CCeb997BF4,0.003900489014066144,0.0039027390759465153,0.010952479532569503,0.025070823225674888,22213896,22428396,22642896,False,
2025-04-03 23:46:35+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0x6F628dcCD275feA4277722D177265741031E09d7,22191759,99.9927862365506,rebalance_plan_1743723845_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.005212856870340052,0.0,autoUSD,Curve.fi Factory Plain Pool: crvUSD/USDT,curve,tokemak,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0x390f3595bCa2Df7d23783dFd126427CCeb997BF4,0.004618721691957761,0.004444665445832108,0.0,0.0,22191759,22406259,22620759,False,
2025-04-04 18:58:59+00:00,0xbB2d2dd491204a86ec10a1a6972F940B34fE060e,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22197502,14345.657699,rebalance_plan_1743792976_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.023828682247037117,Curve.fi Strategic USD Reserves,autoUSD,tokemak,curve,0x4f493B7dE8aAC7d55F71853688b1F7C8F0243C85,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.010822557306404912,0.010569843195102235,22197502,22412002,22626502,False,
2025-04-04 22:06:23+00:00,0x7583b1589aDD33320366A48A92794D77763FAE9e,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22198433,10759.243275,rebalance_plan_1743804223_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.005758144474103985,Curve.fi Factory Plain Pool: crvUSD/USDT,autoUSD,tokemak,curve,0x390f3595bCa2Df7d23783dFd126427CCeb997BF4,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.004280821695017645,0.004187826686356644,22198433,22412933,22627433,False,
2025-04-05 00:52:59+00:00,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22199261,8069.43245,rebalance_plan_1743814228_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.05372867983544643,Curve Strategic Ethena Reserves,autoUSD,tokemak,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.010038998621845652,0.025332292949111324,22199261,22413761,22628261,False,
2025-04-09 21:21:23+00:00,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22234004,81750.998875,rebalance_plan_1744233521_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.05071392018349846,Curve Strategic Ethena Reserves,autoUSD,tokemak,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.012404815366884758,0.024736590545958892,22234004,22448504,22663004,False,
2025-04-10 00:49:11+00:00,0xbB2d2dd491204a86ec10a1a6972F940B34fE060e,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22235038,99999.999999,rebalance_plan_1744245998_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.02169075214218455,Curve.fi Strategic USD Reserves,autoUSD,tokemak,curve,0x4f493B7dE8aAC7d55F71853688b1F7C8F0243C85,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.011428422356545509,0.009750951239332784,22235038,22449538,22664038,False,
2025-04-09 22:30:11+00:00,0xbB2d2dd491204a86ec10a1a6972F940B34fE060e,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22234344,99999.999999,rebalance_plan_1744237669_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.021449738435955754,Curve.fi Strategic USD Reserves,autoUSD,tokemak,curve,0x4f493B7dE8aAC7d55F71853688b1F7C8F0243C85,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.011541267699742619,0.00983941389671772,22234344,22448844,22663344,False,
2025-04-10 03:07:23+00:00,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22235729,99999.999999,rebalance_plan_1744254289_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.04914970736948984,Curve Strategic Ethena Reserves,autoUSD,tokemak,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.012837732354476605,0.024865720721127138,22235729,22450229,22664729,False,
2025-04-09 23:44:35+00:00,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22234716,99999.999999,rebalance_plan_1744242100_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.050694889695318865,Curve Strategic Ethena Reserves,autoUSD,tokemak,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.012562430641368527,0.024733060064764834,22234716,22449216,22663716,False,
2025-04-10 01:57:59+00:00,0xbB2d2dd491204a86ec10a1a6972F940B34fE060e,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,22235382,99999.999999,rebalance_plan_1744250136_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.0,0.02120556648801064,Curve.fi Strategic USD Reserves,autoUSD,tokemak,curve,0x4f493B7dE8aAC7d55F71853688b1F7C8F0243C85,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0.0,0.0,0.011420157041887924,0.009745373140512603,22235382,22449882,22664382,False,
