,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,projected_swap_cost,projected_net_gain,projected_gross_gain,projected_slippage,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days,valid
10,10,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,22606891,21.603504173438406,rebalance_plan_1748745048_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer pxETH/wETH StablePool,Balancer ezETH-WETH Stable Pool,balancer,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,rebalance_plan_1748745048_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-01 02:30:48+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,ezETH-WETH-BPT -> pxETH/wETH,20.953911145107067,21.60348318735782,21.526787988172337,21.588161476809752,,0.03335314784856937,,0.0566965634539523,0.05629685762256798,0.022943709773998615,22.0,2.0,0.0,0.015321710548068523,0.00799781948171482,0.023319530029783344,0.07092240827643323,0.0204530515511947,0.023224179383281696,0.0019207466162041165,0.002212136555217681,22606891,22821391,23035891,2025-07-01 02:24:23+00:00,2025-07-31 01:43:59+00:00,True
11,11,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,22604211,28.79727531087541,rebalance_plan_1748712649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer pxETH/wETH StablePool,Balancer ezETH-WETH Stable Pool,balancer,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,rebalance_plan_1748712649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-31 17:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,ezETH-WETH-BPT -> pxETH/wETH,27.938548193476088,28.79732282734334,28.696239699032404,28.77977371329423,,0.0318751293141599,,0.061993563980212274,0.06136251537623147,0.029487386062071567,22.0,2.0,0.0,0.017549114049110415,0.023151666236043072,0.04070078028515349,0.06094008861284619,0.020471871245486106,0.023218004938052816,0.001920715840165954,0.002212133719071696,22604211,22818711,23033211,2025-06-30 17:25:11+00:00,2025-07-30 16:43:59+00:00,True
12,12,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,22601534,38.39416333690415,rebalance_plan_1748680249_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer pxETH/wETH StablePool,Balancer ezETH-WETH Stable Pool,balancer,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,rebalance_plan_1748680249_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-31 08:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,ezETH-WETH-BPT -> pxETH/wETH,37.251397591301455,38.394105092168914,38.26241071599215,38.37665018902484,,0.034262221437066157,,0.06275201546739768,0.061902803375771205,0.02764058193870505,22.0,1.0,0.0,0.0174549031440705,0.028520274951855353,0.045975178095925856,0.045462456025914,0.021027546974927924,0.023434851604541285,0.0019136324682449413,0.0022141214953179666,22601534,22816034,23030534,2025-06-30 08:27:35+00:00,2025-07-30 07:44:59+00:00,True
13,13,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,22598847,51.18942346269564,rebalance_plan_1748647849_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer pxETH/wETH StablePool,Balancer ezETH-WETH Stable Pool,balancer,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,rebalance_plan_1748647849_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-30 23:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,ezETH-WETH-BPT -> pxETH/wETH,49.668530121735266,51.1899587851715,51.014342086771784,51.14753884978425,,0.03427825952832042,,0.07452575730765572,0.0729453204596091,0.038667060931288674,22.0,1.0,0.0,0.04241993538725097,0.06476065966874991,0.10718059505600089,0.08286768810515044,0.021031515861957395,0.02332644493007785,0.001858474362284035,0.002214173827565391,22598847,22813347,23027847,2025-06-29 23:25:59+00:00,2025-07-29 22:43:11+00:00,True
14,14,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,22593483,68.26220328107384,rebalance_plan_1748583048_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer pxETH/wETH StablePool,Balancer ezETH-WETH Stable Pool,balancer,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,rebalance_plan_1748583048_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-30 05:30:48+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,ezETH-WETH-BPT -> pxETH/wETH,66.22470682898036,68.26198824202257,68.041609937659,68.21259948437479,,0.03175716822557077,,0.0970587952414606,0.09370282106195925,0.061945652836388476,22.0,2.0,0.0,0.04938875764777606,0.1855728017184126,0.23496155936618865,0.0723517713440582,0.020975193834836592,0.02252077092684779,0.001973342905198683,0.0022566426461294586,22593483,22807983,23022483,2025-06-29 05:25:23+00:00,2025-07-29 04:43:35+00:00,True
15,15,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,22590801,74.99761806811368,rebalance_plan_1748550649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer pxETH/wETH StablePool,Balancer ezETH-WETH Stable Pool,balancer,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,rebalance_plan_1748550649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-29 20:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,ezETH-WETH-BPT -> pxETH/wETH,72.75932538443458,75.00000004287644,74.76318810232966,74.95549953242374,,0.031409515616508996,,0.100705618080192,0.09688877850473546,0.06547926288822646,22.0,2.0,0.0,0.044500510452692765,0.2249059034436791,0.2694064138963719,0.059334013903003274,0.02095001794594764,0.022422146050361524,0.0019494205678480814,0.0022552322702464878,22590801,22805301,23019801,2025-06-28 20:24:47+00:00,2025-07-28 19:43:23+00:00,True
16,16,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22586339,73.08403172185245,rebalance_plan_1748496649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1748496649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-29 05:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,72.9250287406431,73.08403705890404,70.85328880735754,73.04602537841484,,0.003706160040289521,,0.029836704190883544,0.02955501797021168,0.02584885792992216,22.0,2.0,0.0,0.038011680489205446,0.03783990886498002,0.07585158935418546,0.05201092060441175,0.001879751128569529,0.002269554219687553,0.021154998845597905,0.021955261738397347,22586339,22800839,23015339,2025-06-28 05:27:23+00:00,2025-07-28 04:44:35+00:00,True
17,17,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22583660,74.99055634048544,rebalance_plan_1748464249_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1748464249_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-28 20:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,74.82464704975139,74.9905615499166,72.69712149265419,74.95026080979973,,0.003662695398783775,,0.031041460651245086,0.030751812902024393,0.02708911750324062,24.0,2.0,0.0,0.040300740116876455,0.04917031277657166,0.08947105289344812,0.053741083256258496,0.0019326194439042155,0.002294204173903358,0.021248721401306403,0.021941815079295823,22583660,22798160,23012660,2025-06-27 20:28:35+00:00,2025-07-27 19:45:23+00:00,True
18,18,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x40219bBda953ca811d2D0168Dc806a96b84791d9,22520288,20.05713120870318,rebalance_plan_1747697449_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer ezETH-WETH Stable Pool,Balancer weETH/rETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x05ff47AFADa98a98982113758878F9A8B9FddA0a,rebalance_plan_1747697449_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-19 23:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x40219bBda953ca811d2D0168Dc806a96b84791d9,0x05ff47AFADa98a98982113758878F9A8B9FddA0a,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,weETH/rETH -> ezETH-WETH-BPT,19.47329312887281,20.057256158512637,19.466964880610718,20.052225059515223,,0.03794968767449946,,0.04588729857659963,0.045772963922441234,0.007823276247941775,24.0,2.0,0.0,0.005031098997413608,0.004649770676482766,0.009680869673896374,0.025083685214232678,0.013930917191222969,0.014862540424356308,0.021577008253144347,0.020321039153952336,22520288,22734788,22949288,2025-06-18 23:56:23+00:00,2025-07-18 23:10:23+00:00,True
19,19,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x40219bBda953ca811d2D0168Dc806a96b84791d9,22517620,6.683881728692602,rebalance_plan_1747665049_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer ezETH-WETH Stable Pool,Balancer weETH/rETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x05ff47AFADa98a98982113758878F9A8B9FddA0a,rebalance_plan_1747665049_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-05-19 14:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x40219bBda953ca811d2D0168Dc806a96b84791d9,0x05ff47AFADa98a98982113758878F9A8B9FddA0a,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,weETH/rETH -> ezETH-WETH-BPT,6.4910977096242695,6.683881730288679,6.488431406365722,6.68316691270864,,0.03810218314617712,,0.04508414181744851,0.04504520986613267,0.0069430267199555515,24.0,2.0,0.0,0.0007148175800386625,0.0021353267736767545,0.002850144353715417,0.010694647345410004,0.014020965753642312,0.014134651581386715,0.021909940502516267,0.019996506400217662,22517620,22732120,22946620,2025-06-18 15:00:11+00:00,2025-07-18 14:15:59+00:00,True
