Date,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-10-28,0.0,87.92567443847656,0.0,87.93525966543994,87.92567443847656,87.93525966543994,0.0,5718600
2024-10-29,0.0,87.94482421875,0.0,87.95440944425701,87.93524630462782,87.94482421875,0.0,4704800
2024-10-30,0.0,87.95441436767578,0.0,87.96399959371934,87.95441436767578,87.95441436767578,0.0,4965800
2024-10-31,0.0,87.97358703613281,0.0,87.97358703613281,87.96400180984777,87.96400180984777,0.0,12141700
2024-11-01,0.0,88.01111602783203,0.359,88.01111602783203,88.00149316884644,88.01111602783203,0.0,15201500
2024-11-04,0.0,88.03034973144531,0.0,88.03034973144531,88.02072687297067,88.03034973144531,0.0,9477100
2024-11-05,0.0,88.03034973144531,0.0,88.03997258991996,88.03034973144531,88.03034973144531,0.0,4689500
2024-11-06,0.0,88.04959106445312,0.0,88.04959106445312,88.03997554574603,88.03997554574603,0.0,9978200
2024-11-07,0.0,88.0592041015625,0.0,88.0592041015625,88.04958124383808,88.04958124383808,0.0,7827900
2024-11-08,0.0,88.1073226928711,0.0,88.1073226928711,88.08807697487904,88.09769983387507,0.0,8280900
2024-11-11,0.0,88.09769439697266,0.0,88.10731725537481,88.09769439697266,88.09769439697266,0.0,8165700
2024-11-12,0.0,88.1073226928711,0.0,88.11693821177636,88.1073226928711,88.1073226928711,0.0,5526300
2024-11-13,0.0,88.12655639648438,0.0,88.12655639648438,88.11693353799875,88.11693353799875,0.0,4860500
2024-11-14,0.0,88.12655639648438,0.0,88.13617925497,88.12655639648438,88.13617925497,0.0,6138400
2024-11-15,0.0,88.1554183959961,0.0,88.16504125456512,88.1554183959961,88.16504125456512,0.0,9715700
2024-11-18,0.0,88.1650390625,0.0,88.18428477915957,88.1650390625,88.17466192082978,0.0,7387900
2024-11-19,0.0,88.19390106201172,0.0,88.19390106201172,88.17466268527562,88.18428554368883,0.0,7470700
2024-11-20,0.0,88.2035140991211,0.0,88.2035140991211,88.19389124177938,88.19389124177938,0.0,5538200
2024-11-21,0.0,88.21315002441406,0.0,88.21315002441406,88.2035271656468,88.21315002441406,0.0,5889700
