,destination_vault_address,block,chain_id,incentive_apr,fee_apr,base_apr,points_apr,fee_plus_base_apr,total_apr_in,total_apr_out,underlying_token_total_supply,safe_total_supply,price_per_share,price_return,underlying_safe_price,underlying_spot_price,underlying_backing,safe_backing_discount,spot_backing_discount,safe_spot_spread
0,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,20759464,1,0.04123494627070868,0.003997440378099023,0.005817494848626641,0.0,,0.04628093618027437,0.04628093618027437,13157.451200068495,12302.61112382241,1.0365229481280955,-0.000645450690089112,1.0365229481280955,1.0365160849553854,1.0358548201174982,0.0006450015944527437,0.0006383759818892293,6.621341787504174e-06
1,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,20809562,1,0.03426980338437765,0.002351190892752341,0.005887144796586511,0.0,,0.03854540306396104,0.03854540306396104,13268.592709485913,12494.240543676495,1.0365464044268762,-0.000535755671317696,1.0365464044268762,1.036537333895925,1.0359916842421681,0.0005354484916679762,0.0005266930826341069,8.750723472185105e-06
2,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,20859740,1,0.03039312569291473,0.001474535504119384,0.006060682142221347,0.0,,0.03464387786045088,0.03464387786045088,13157.90465659524,12386.41786126306,1.036394215442985,-0.000245152909513104,1.036394215442985,1.036388337906328,1.0361402674167983,0.00024509039381303193,0.00023941786390373313,5.671139967370812e-06
3,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,20909955,1,0.03424949042909851,0.004201155319442338,0.006073912812781185,0.0,,0.04059573087097837,0.04059573087097837,13154.734411082396,12383.24761575024,1.0369532284226906,-0.000503878647433816,1.0369532284226906,1.0369574670109791,1.0364312669464337,0.0005036141738512446,0.0005077037728663941,-4.087540471831675e-06
4,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,20960089,1,0.034002122294232696,0.002755180033759084,0.006240671912012002,0.0,,0.03957174124168289,0.04244211373728371,13142.590914744038,12368.757665423542,1.0365373009300929,-2.602076889762e-05,1.0365373009300929,1.0365344228152629,1.0365103308490753,2.6020079313154133e-05,2.3243344007814088e-05,2.7766630563470936e-06
5,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21010230,1,0.03732902176690935,0.001740072714289337,0.006259669274974527,0.0,,0.0415892240480879,0.0415892240480879,13142.069202663193,12368.235354019867,1.0366926596889712,-6.637531394372e-06,1.0366926596889712,1.036689125517337,1.036685778701125,6.637486485829772e-06,3.228380557259895e-06,3.4090833008255383e-06
6,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21060412,1,,,,0.0,,,,13459.424557427239,,,,1.0366191816536934,1.0365980610251755,1.0368525080926565,-0.0002250333939899878,-0.0002454033389465202,2.0374529906148138e-05
7,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21110559,1,,,,0.0,,,,8503.954885519173,,,,1.0364365086252427,1.0364347938407832,1.0371493431490768,-0.0006873017165201271,-0.0006889550796262853,1.6545002470179407e-06
8,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21160714,1,,,,0.0,,,,9290.326939681512,,,,1.0356687434746035,1.035672390383594,1.0375818307582114,-0.0018437941248546773,-0.0018402793090758502,-3.521308346468142e-06
9,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21210874,1,,,,0.0,,,,9299.152800574007,,,,1.0377611767702368,1.0377614555368968,1.0375906633941114,0.00016433588132685925,0.00016460454860559715,-2.686231343183758e-07
10,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21261045,1,,,,0.0,,,,9294.135277018175,,,,1.0334181829944649,1.0333210685800533,1.0386312901883161,-0.005019208686564859,-0.005112710986494516,9.397397492089078e-05
11,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21311105,1,,,,0.0,,,,9314.497304332726,,,,1.0342634148773042,1.0345583731928973,1.0386130428265945,-0.004187919629290163,-0.0039039271283002014,-0.00028518684055754814
12,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21361217,1,,,,0.0,,,,9200.646396193446,,,,1.0373693382054472,1.0373761957022487,1.0385999281000795,-0.0011848545925508068,-0.0011782519570065696,-6.610467987591024e-06
13,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21411356,1,,,,0.0,,,,12083.249201500772,,,,1.0380518624653463,1.0380433632139954,1.038765864411112,-0.000687355996406782,-0.0006955380628782805,8.187694332294447e-06
14,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21461471,1,,,,0.0,,,,13440.851160746177,,,,1.0371306071421376,1.0371339764908987,1.0390375429160488,-0.0018352905406665235,-0.0018320477812647311,-3.2487217500896964e-06
15,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21511571,1,,,,0.0,,,,14174.890401651921,,,,1.037144303281938,1.0372199021869402,1.0391154852037234,-0.0018969806049987787,-0.0018242274740152078,-7.289140456430051e-05
16,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21561709,1,,,,0.0,,,,14173.344027042287,,,,1.0373103225358726,1.0373293969800064,1.039333080199623,-0.0019462073345744622,-0.00192785475396568,-1.838836818581641e-05
17,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21611852,1,,,,0.0,,,,13502.933505649467,,,,1.036576643257537,1.036596243360315,1.039603016499359,-0.0029110854756970155,-0.002892232026383135,-1.8908493554835205e-05
18,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21661974,1,,,,0.0,,,,13499.714062841298,,,,1.0344828545046656,1.0340752120819805,1.040315658938094,-0.005606764046387834,-0.005998608982280847,0.0003940543054048814
