,buyAmount,minBuyAmount,aggregatorName,datetime_received,3rd_party_response_success,chainId,systemName,slippageBps,taker,sellToken,buyToken,sellAmount,includeSources,excludeSources,sellAll,timeoutMS,method,url,buy_amount_norm,min_buy_amount_norm,sell_amount_norm,buy_amount_price,min_buy_amount_price,buy_symbol,sell_symbol,label,batch_id
0,199338315634,199268547224,Lifi,2025-09-25 03:03:19.238192+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,200000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,199338.315634,199268.547224,200000.0,0.99669157817,0.99634273612,USDC,GHO,GHO -> USDC,0
1,249281049920,249193801553,Lifi,2025-09-25 03:03:19.160575+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0xdAC17F958D2ee523a2206206994597C13D831ec7,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249281.04992,249193.801553,250000.0,0.99712419968,0.996775206212,USDT,USDe,USDe -> USDT,0
2,99425030360,99390231599,Lifi,2025-09-25 03:03:19.070290+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xdAC17F958D2ee523a2206206994597C13D831ec7,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99425.03036,99390.231599,100000.0,0.9942503036,0.99390231599,USDT,FRAX,FRAX -> USDT,0
3,199550464238143068438528,199480621575659718364575,Lifi,2025-09-25 03:03:19.112900+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,200000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,199550.46423814306,199480.62157565972,200000.0,0.9977523211907153,0.9974031078782987,crvUSD,USDT,USDT -> crvUSD,0
4,149164484953,149119735607,Lifi,2025-09-25 03:03:19.210098+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149164.484953,149119.735607,150000.0,0.9944298996866667,0.9941315707133334,USDC,FRAX,FRAX -> USDC,0
5,99450173646301241000000,99415366085525035565650,Lifi,2025-09-25 03:03:19.114652+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99450.17364630123,99415.36608552503,100000.0,0.9945017364630123,0.9941536608552504,crvUSD,FRAX,FRAX -> crvUSD,0
6,149517866690673753982370,149465535437332018168476,Lifi,2025-09-25 03:03:19.193666+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,150000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149517.86669067375,149465.535437332,150000.0,0.996785777937825,0.9964369029155467,USDe,GHO,GHO -> USDe,0
7,249608461418292415000000,249521098456796012654750,Lifi,2025-09-25 03:03:19.252950+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,250000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249608.46141829243,249521.098456796,250000.0,0.9984338456731697,0.998084393827184,GHO,USDT,USDT -> GHO,0
8,149666438557937354000000,149614055304442075926100,Lifi,2025-09-25 03:03:19.787024+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,150000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149666.43855793736,149614.05530444207,150000.0,0.9977762570529157,0.9974270353629471,crvUSD,USDT,USDT -> crvUSD,0
9,49834662299,49817220167,Lifi,2025-09-25 03:03:20.810727+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,50000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,49834.662299,49817.220167,50000.0,0.9966932459800001,0.99634440334,USDC,GHO,GHO -> USDC,0
