block_timestamp,vault,name,block,getDestinationSummaryStats_error,NoWeights_in_base_apr,NoWeights_in_fee_apr,NoWeights_in_incentive_apr,NoWeights_in_price_return,NoWeights_in_composite_return,NoWeights_in_safe_total_supply,NoWeights_out_base_apr,NoWeights_out_fee_apr,NoWeights_out_incentive_apr,NoWeights_out_price_return,NoWeights_out_composite_return,NoWeights_out_safe_total_supply
2024-08-23 04:51:59,0x1568528A93393B8dfc708f3FD0537C549290AC73,Tokemak-Wrapped Ether-weETH/WETH-ng,20589039,,0.01604015574145458,0.029727324522503096,0.0,,0.04576748026395768,56.16827014731242,0.01604015574145458,0.029727324522503096,0.0,0.0003075639502889907,0.045998153226674415,56.16827014731242
2024-08-23 04:51:59,0x502E4b61c843F26328125566B8000F4368F18360,Tokemak-Wrapped Ether-Maverick Position-wstETH-WETH-110,20589039,"<class 'web3.exceptions.ContractCustomError'>('0xbaa6c6e00000000000000000000000000eb1c92f9f5ec9d817968afddb4b46c564cdedbe', '0xbaa6c6e00000000000000000000000000eb1c92f9f5ec9d817968afddb4b46c564cdedbe')",,,,,,,,,,,,
2024-08-23 04:51:59,0x0b08E02644745e26963c95935A1da19d8D927b97,Tokemak-Wrapped Ether-Balancer rsETH-WETH Stable Pool,20589039,,0.011756564040670136,0.013729230024047905,0.0,,0.02548579406471804,0.0,0.011756564040670136,0.013729230024047905,0.0,0.0009449617756126013,0.026194515396427493,0.0
2024-08-23 04:51:59,0xe3018Ee1e54F2CEb7F363Aa837F905ca509bAB1C,Tokemak-Wrapped Ether-wETH/rETH,20589039,,0.011911031886645567,0.013030780474191544,0.08325988265014381,,0.09191809578874025,84.65006055212638,0.011911031886645567,0.013030780474191544,0.08325988265014381,-0.000464221518713348,0.09191809578874025,84.65006055212638
2024-08-23 04:51:59,0x8C598Be7D29ca09d847275356E1184F166B96931,Tokemak-Wrapped Ether-Gyroscope ECLP wstETH/cbETH,20589039,,0.014475524489742328,0.008646226990402787,0.03777602845603502,,0.05372033452953349,415.29791691772874,0.014475524489742328,0.008646226990402787,0.0419227113190591,0.0018051076233243613,0.058432978366076256,415.29791691772874
2024-08-23 04:51:59,0xF35fbb601e7de870029691f1872D67A8fC866B15,Tokemak-Wrapped Ether-Balancer wstETH-WETH Stable Pool,20589039,,0.010319215857573677,0.016751667463225265,0.0,,0.02707088332079894,3115.722080611325,0.010319215857573677,0.016751667463225265,0.034881025621707536,0.00017334282849758133,0.05545452119575523,3115.722080611325
2024-08-23 04:51:59,0x2B7612998d9c979b125d3A4F4Bb2aF88a80f0C0f,Tokemak-Wrapped Ether-Balancer rsETH-WETH Stable Pool,20589039,,0.011756564040670136,0.013729230024047905,3.5672462641111117e-08,,0.02548582295941278,555.8974350528098,0.011756564040670136,0.013729230024047905,3.5672462641111117e-08,0.0009449617756126013,0.02619454429112223,555.8974350528098
2024-08-23 04:51:59,0x9CA9B5dB35e5a48f2B147DaBB8e9848475094669,Tokemak-Wrapped Ether-Gyroscope ECLP wstETH/wETH,20589039,,0.01299258221972296,0.009446068444493328,0.019511901230750965,,0.03824329066112457,496.861269329857,0.01299258221972296,0.009446068444493328,0.019511901230750965,0.00021825020258697334,0.0384069783130648,496.861269329857
2024-08-23 04:51:59,0x0D883F9600857a28CfBccb16b10095EAcF8055af,Tokemak-Wrapped Ether-Balancer weETH/rETH StablePool,20589039,,0.014119883748465996,0.005712404963372657,0.04637567079319014,,0.05704983282769155,2129.482716986436,0.014119883748465996,0.005712404963372657,0.04637567079319014,-0.000272250554572814,0.05712433149974985,2129.482716986436
2024-08-23 04:51:59,0xb2f0d11Ce7D12CdA959775A1D9a608eA21123c9A,Tokemak-Wrapped Ether-wETH/rETH,20589039,,0.011911031886645567,0.013030780474191544,0.08325988265014381,,0.09191809578874025,84.65006055212638,0.011911031886645567,0.013030780474191544,0.08325988265014381,-0.000464221518713348,0.09191809578874025,84.65006055212638
