address,total_nfts,total_stablecoins_usd,Milady_count,ETH_balance,USDC_balance,USDT_balance,CryptoPunks_count,DAI_balance,USDD_balance,BUSD_balance,FRAX_balance
0x979ddbf4ef2240b316c73c5b7cdab0a453b101aa,15,221837.294436,15.0,0.1654167950128029,221837.294436,0.0,0.0,0.0,0.0,0.0,0.0
0xc9b5caead28d9fb4fbca386aa90b8deb647e5a12,1,215874.151676,0.0,20.73034524601423,0.0,215874.151676,1.0,0.0,0.0,0.0,0.0
0xda5921614a824a6cc187175750b8b3dcb4dbe67d,2,210053.164944,1.0,36.529672413098965,210053.164944,0.0,1.0,0.0,0.0,0.0,0.0
0x1ff2875cd548eeae6d22f26bae2d72a50fd143c7,1,203520.507308,0.0,0.06232598447539463,203520.507308,0.0,1.0,0.0,0.0,0.0,0.0
0x42f0b139d371ccd992bdfea1f764d66bcde5f000,1,201092.71589,1.0,0.09152042017395721,1092.71589,200000.0,0.0,0.0,0.0,0.0,0.0
0xae87c123c704cbe6b96315ed3ca7c6282be8a66f,1,178175.644799,0.0,83.26961678324248,40.358455,178135.286344,1.0,0.0,0.0,0.0,0.0
0xca695144ed80d2e5f10c8938c08dffbf2516a170,4,164295.17702442757,4.0,0.06612591469491233,0.0,0.0,0.0,164295.17702442757,0.0,0.0,0.0
0x084334dff715245ee583d8042d567579fe6ce52c,1,162540.944318,0.0,0.287443210789659,2.0,162538.944318,1.0,0.0,0.0,0.0,0.0
0x8fc6ebed94cfbc94e1d74576cfa03b986572c435,1,157579.383529,0.0,2.6488947142080272,157579.383529,0.0,1.0,0.0,0.0,0.0,0.0
0xd47b578720cf876cc5231f78e0d9a0f33b3594b3,1,151834.525669,1.0,49.5326673666559,0.848871,151833.676798,0.0,0.0,0.0,0.0,0.0
0x997bd6938948e10b5648c871298fd019ef4e984e,2,146276.496832,0.0,0.06979952578303407,0.0,146276.496832,2.0,0.0,0.0,0.0,0.0
0xb47d3d296fac6d26ebad2563bf1dc8a3349b85bc,2,141535.630303,0.0,5.062683037255302,141535.630303,0.0,2.0,0.0,0.0,0.0,0.0
0x163e10cccfbc559c7d28eecf0e27ef10888f6607,16,137225.26501,0.0,0.0,137225.26501,0.0,16.0,0.0,0.0,0.0,0.0
0x1f7ee81e185192e1be41f9b169ece34b82c10d64,2,128981.797126,0.0,1.4226455013546053,128981.797126,0.0,2.0,0.0,0.0,0.0,0.0
0x038043220ec01738c202d091b5f5b871c6385954,1,125018.953525,1.0,19.394430654967397,25018.453525,100000.5,0.0,0.0,0.0,0.0,0.0
0x484c6dcd50978b9d525cc20a02d5801f492931f8,1,124709.34348,0.0,17.828845392258664,124709.34348,0.0,1.0,0.0,0.0,0.0,0.0
0x719e27ee6369510802e7a805efc7bef70202df5d,1,123972.42454,1.0,0.47588369847455353,123972.42454,0.0,0.0,0.0,0.0,0.0,0.0
0xfc31f24a7caadea7369ae616dab575fee5da38ef,1,121641.616825,0.0,0.2927438027826798,43410.616825,78231.0,1.0,0.0,0.0,0.0,0.0
0xd7d2b749820b4a9bb1ed54a59a42bba732d4c73e,1,112727.411346,1.0,0.12407830342792078,0.0,112727.411346,0.0,0.0,0.0,0.0,0.0
0x7918b47759e8bce8489f3b54aad0ea71ce6bddbc,2,109729.434483,2.0,254.85087200181172,109729.434483,0.0,0.0,0.0,0.0,0.0,0.0
0x591130a8f1f21855c61941cd73f61b681788792d,1,105702.803784,0.0,2.6038454299038873,105702.803784,0.0,1.0,0.0,0.0,0.0,0.0
