timestamp,id,success,totalPayment,gasUsed,gasOverhead,trigger,event,block,transaction_index,log_index,hash,gasCostInETH,gasPrice,gasCostInETH_with_premium
2024-08-31 13:32:59,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1222318964499686881,3155118,114740,"b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x13\xa7\x0f\xd2\xe4\xfa\x1f?d\xcd\xd8\xe5Aygk\xe8P|\x08no\x1d9\x8cE\xb3""\x80`\x05\xd6\xed\xc4'",UpkeepPerformed,20648872,41,137,0x2b980cecd54fad7d5530d4d311077850da2f5e55a56269f6a95baf545ec424e8,0.004516137387324698,1383318346,0.005419364864789638
2024-08-31 13:33:23,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1228774339823369983,3327179,114740,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x13\xa8\xc3\x8c\x8c\xad\xdck\xcfv\x88\xba(\x92\x94\x7f\xa9\x91[\x9d\x98\x19\xdc\xba\x0b\xcb}\x03I\xfb\x05^Q\x15',UpkeepPerformed,20648874,54,177,0x50979f1c4a4edc757c1f4c6f7b602481469fc9c34e695fc94481fa61bc232349,0.00453901108803835,1320718525,0.00544681330564602
2024-08-31 13:42:47,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1313831153875426419,3411278,114740,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x13\xd8\x07\xb9}\x8d\xf6\x84\xbdQ\xae\x15m\xe2\x94\x98D;\xa9\x8a\x18T\xab\x05M\x19\x1cj\xfb\xa62>\xe0(',UpkeepPerformed,20648921,52,132,0x12c00b710da71d53aa9bda66d849296c6ae558f8db0aa7715aef1610b545d5a6,0.004852715420072366,1378275206,0.0058232585040868395
2024-08-31 13:43:35,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,794810869676295344,2188017,114066,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x13\xdc\xbb\xa4\x963\x99\xae\xb09{\x87\xd3\xc0\xb0Bf\xc7\xce\xd2\x98\xb5tR\xaa\xdbQ\x06\xe7\x9fw\x0e\xf6\xc6',UpkeepPerformed,20648925,38,72,0x67dc2c2f0d2f2ce9e61c7972a0a5f787f146d798ac4a50f0ab1f7c4dfe5b22b5,0.002942011294290054,1280746859,0.0035304135531480647
2024-08-31 14:33:11,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1155328259017426672,2640262,114740,"b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x14\xd2\x05H1T\xcf\xe9(\xd7\xd3,\xe7Xel;\xe4h=D\xfb\xfcm\xa1\x95\x94\xba\xd3&\xdaj\x9d\xb5'",UpkeepPerformed,20649171,90,181,0xda1c2c7ab5d06560f35b4e50ef2c63b175f98442d4ef2a1b109fc5a8c75f2bd4,0.004182579336138783,1553558719,0.005019095203366539
2024-08-31 14:33:47,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,2027554692845742997,4801210,114740,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x14\xd4\x8bH\x15Z\xc9\xc5\xb0\xb0\xde\xa8\xb6x\x85|\xd1\xf2~\x87?\xa0\xe8\xfc8|;\xc3\xa9\xfe^\xdaJ\xea',UpkeepPerformed,20649174,47,123,0xbb028ffca9c147dddf0ac46630b112724c4b8d0873f9a3409b62c720a148421c,0.007400072697223995,1523270235,0.008880087236668794
2024-08-31 14:42:59,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1116842858116842227,2755651,114740,"b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x15\x03\x0c\xd9 Ob\x9b\xa6m\xa8{6UP\xef\x1c5\x0ebm\x19,\x03""\xcc8;\x19\x02cz\xb4\xb8'",UpkeepPerformed,20649220,64,143,0x178553cc94935da27b9bbb77f665ae1bc8ded52c6d8bca78dfac320ccfc1f118,0.004025135560817508,1441030562,0.004830162672981009
2024-08-31 14:43:47,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,772862700795061624,1758414,114066,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x15\x07w\xeaJET\xc1\xbc\xcc\xd3\xa8\x07XG\xd3\xf6o\xfdi\xef\x14\x11\xae\x00\x98\xc66\xa4\xc0\xbe9E\x99',UpkeepPerformed,20649224,40,61,0xb197b5a950fd33faa4cf3f336498affe6070351ace60fb8bcba9e15d6887aad4,0.002791150011717513,1534038047,0.0033493800140610153
2024-08-31 18:00:47,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1082908534131276312,1762048,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x18\xdd\xd4\xc8yX`/\xcc1\x91\xd5\xfdz*\x99\xc4\xba3i\xfe\x11E\xb4M&%l\xe6~\x84\xb8\x89w',UpkeepPerformed,20650206,43,247,0x38fb0d6bf872871c1a83cc8bc42a5417ac4b80f1acec4d68284853301bd064d1,0.00398811236037498,2133530396,0.004785734832449976
2024-08-31 18:12:47,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1027530714338067433,1741332,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01;\x19\x19\xa0:\xe5\x1e=\xf6\xb9\xba%NF\xc0\x1a\xd3\xc9\xad0\xaaEJ\x13#\x03\x96ti\xff=\xc8\xde\x1b2',UpkeepPerformed,20650266,62,77,0x9434f3fa22416ad2c8e34e30d3b2037f88850edf091574cf6d96567292aef1c8,0.00378503923372455,2047284055,0.00454204708046946
