top_level_function,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,filename,lineno,function
add_new_destination_summary_stats_to_table,5,0.001329097,0.0002658194,0.15112962500000002,0.030225925000000004,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,78,_flatten_summary_stats_df
add_new_destination_summary_stats_to_table,5,4.3084e-05,8.6168e-06,4.3084e-05,8.6168e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,144,<listcomp>
add_new_destination_summary_stats_to_table,5,0.00038578800000000003,7.715760000000001e-05,75.211827583,15.0423655166,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,100,_get_earliest_raw_summary_stats_that_does_not_revert
add_new_destination_summary_stats_to_table,957,0.0005761340000000001,6.020208986415884e-07,0.0005761340000000001,6.020208986415884e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,165,<dictcomp>
add_new_destination_summary_stats_to_table,957,0.009211052,9.624923719958203e-06,0.084870233,8.868362904911181e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,162,_combine_to_destination_name
add_new_destination_summary_stats_to_table,5,5.3249000000000005e-05,1.0649800000000001e-05,0.090359249,0.0180718498,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,156,_combine_migrated_destinations
add_new_destination_summary_stats_to_table,10,3.9503000000000004e-05,3.9503e-06,0.006859748000000001,0.0006859748000000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,191,<listcomp>
add_new_destination_summary_stats_to_table,1646,0.004778277,2.9029629404617255e-06,0.353229984,0.00021459901822600244,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,201,<listcomp>
add_new_destination_summary_stats_to_table,1914,0.003343724,1.7469822361546501e-06,0.357053304,0.00018654822570532916,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,194,get_current_destinations_by_block
add_new_destination_summary_stats_to_table,1914,0.000706876,3.6931870428422157e-07,0.363867072,0.0001901081880877743,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,206,<lambda>
