         559833989 function calls (548746568 primitive calls) in 472.916 seconds

   Ordered by: cumulative time
   List reduced from 4969 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.003    0.001  473.155  473.155 constants.py:265(wrapper)
        1    0.002    0.002  473.155  473.155 ensure_all_tables_are_current.py:63(ensure_database_is_current)
        1    0.028    0.028  252.374  252.374 update_destination_token_values_tables.py:370(ensure_destination_token_values_are_current)
        9    0.030    0.003  252.319   28.035 update_destination_token_values_tables.py:355(_fetch_and_insert_destination_token_values)
       60    0.000    0.000  226.285    3.771 nest_asyncio.py:25(run)
       60    0.043    0.001  226.283    3.771 nest_asyncio.py:86(run_until_complete)
    63825    0.761    0.000  226.231    0.004 nest_asyncio.py:100(_run_once)
       49    0.000    0.000  223.258    4.556 get_state_by_block.py:73(get_raw_state_by_blocks)
        9    0.000    0.000  125.933   13.993 update_destination_token_values_tables.py:297(_fetch_destination_token_values_not_idle)
    63825    0.180    0.000  120.111    0.002 selectors.py:554(select)
   104217  119.932    0.001  119.932    0.001 {method 'control' of 'select.kqueue' objects}
        9    0.000    0.000  117.347   13.039 update_destination_token_values_tables.py:106(_fetch_destination_token_value_data_from_external_source)
      631  106.780    0.169  106.792    0.169 {method 'execute' of 'psycopg2.extensions.cursor' objects}
   803198    0.233    0.000  104.907    0.000 events.py:78(_run)
   803198    0.181    0.000  104.674    0.000 {method 'run' of '_contextvars.Context' objects}
   366202    0.541    0.000   95.481    0.000 tasks.py:215(__step)
   364707    0.097    0.000   94.060    0.000 {method 'send' of 'coroutine' objects}
        9    0.000    0.000   90.225   10.025 update_destination_token_values_tables.py:315(_fetch_destination_token_values_idle)
    74093    0.073    0.000   85.319    0.001 multicall.py:78(fetch_outputs)
    80939    0.086    0.000   84.552    0.001 get_state_by_block.py:143(_fetch_data)
   263364    0.087    0.000   80.548    0.000 utils.py:77(run_in_subprocess)
