         559344879 function calls (548127187 primitive calls) in 431.575 seconds

   Ordered by: cumulative time
   List reduced from 4927 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.000  431.817  431.817 constants.py:270(wrapper)
        1    0.002    0.002  431.817  431.817 ensure_all_tables_are_current.py:64(ensure_database_is_current)
        1    0.023    0.023  268.805  268.805 update_destination_token_values_tables.py:371(ensure_destination_token_values_are_current)
        9    0.032    0.004  268.760   29.862 update_destination_token_values_tables.py:355(_fetch_and_insert_destination_token_values)
       61    0.000    0.000  237.441    3.892 nest_asyncio.py:25(run)
       61    0.051    0.001  237.439    3.892 nest_asyncio.py:86(run_until_complete)
    63939    0.905    0.000  237.376    0.004 nest_asyncio.py:100(_run_once)
       48    0.000    0.000  234.172    4.879 get_state_by_block.py:73(get_raw_state_by_blocks)
        9    0.000    0.000  153.965   17.107 update_destination_token_values_tables.py:297(_fetch_destination_token_values_not_idle)
        9    0.000    0.000  145.188   16.132 update_destination_token_values_tables.py:106(_fetch_destination_token_value_data_from_external_source)
    63939    0.228    0.000  126.407    0.002 selectors.py:554(select)
   104679  126.177    0.001  126.177    0.001 {method 'control' of 'select.kqueue' objects}
   812592    0.268    0.000  109.559    0.000 events.py:78(_run)
   812592    0.208    0.000  109.291    0.000 {method 'run' of '_contextvars.Context' objects}
   370823    0.584    0.000   99.301    0.000 tasks.py:215(__step)
      558   98.992    0.177   99.003    0.177 {method 'execute' of 'psycopg2.extensions.cursor' objects}
   369293    0.109    0.000   97.795    0.000 {method 'send' of 'coroutine' objects}
    74831    0.085    0.000   88.245    0.001 multicall.py:78(fetch_outputs)
    81804    0.099    0.000   87.601    0.001 get_state_by_block.py:143(_fetch_data)
   266939    0.094    0.000   83.125    0.000 utils.py:77(run_in_subprocess)
        9    0.000    0.000   73.886    8.210 update_destination_token_values_tables.py:315(_fetch_destination_token_values_idle)
      238    0.002    0.000   72.673    0.305 base.py:1788(_execute_context)
      238    0.004    0.000   72.647    0.305 base.py:1847(_exec_single_context)
      238    0.000    0.000   72.582    0.305 default.py:944(do_execute)
      234    0.001    0.000   72.271    0.309 elements.py:514(_execute_on_connection)
      234    0.003    0.000   72.271    0.309 base.py:1588(_execute_clauseelement)
      150    0.001    0.000   72.226    0.482 base.py:1372(execute)
   248106    0.083    0.000   72.118    0.000 signature.py:73(encode_data)
   112062    0.095    0.000   72.006    0.001 codec.py:94(encode)
1854747/112077    0.421    0.000   71.505    0.001 encoding.py:97(__call__)
350758/112062    1.059    0.000   71.468    0.001 encoding.py:138(encode)
    83491    0.062    0.000   66.545    0.001 tasks.py:302(__wakeup)
       84    0.027    0.000   65.025    0.774 sql.py:570(read_sql)
3752312/2257264    1.148    0.000   60.581    0.000 address.py:35(is_address)
  1499488    0.285    0.000   59.150    0.000 encoding.py:469(validate_value)
    65421    0.031    0.000   58.942    0.001 eth_retry.py:78(auto_retry_wrap_async)
    65421    0.063    0.000   58.895    0.001 call.py:108(coroutine)
  1523446    0.915    0.000   55.635    0.000 address.py:128(is_checksum_address)
  1544710    2.263    0.000   54.551    0.000 address.py:106(to_checksum_address)
       67    0.001    0.000   52.864    0.789 postgres_operations.py:92(_exec_sql_and_cache)
       66    0.002    0.000   52.584    0.797 postgres_operations.py:27(merge_tables_as_df)
       84    0.001    0.000   51.667    0.615 sql.py:1779(read_query)
       84    0.000    0.000   50.719    0.604 sql.py:1655(execute)
     9410    0.010    0.000   45.994    0.005 call.py:130(prep_args)
        1    0.002    0.002   42.640   42.640 update_rebalance_events.py:144(ensure_rebalance_events_are_current)
828150/589454    0.933    0.000   41.199    0.000 encoding.py:115(validate_value)
      126    0.001    0.000   36.391    0.289 sessions.py:500(request)
      139    0.002    0.000   36.364    0.262 connectionpool.py:592(urlopen)
      139    0.002    0.000   36.340    0.261 connectionpool.py:377(_make_request)
      126    0.003    0.000   36.264    0.288 sessions.py:673(send)
     9410    0.013    0.000   35.678    0.004 encoding.py:720(encode)
     9410    0.070    0.000   35.626    0.004 encoding.py:615(encode_elements)
       43    0.016    0.000   34.588    0.804 postgres_operations.py:101(insert_avoid_conflicts)
       42    0.003    0.000   33.837    0.806 postgres_operations.py:115(bulk_copy_skip_duplicates)
      126    0.002    0.000   32.460    0.258 adapters.py:613(send)
        9    0.003    0.000   32.046    3.561 update_rebalance_events.py:115(_load_raw_rebalance_event_df)
       74    0.001    0.000   30.327    0.410 api.py:14(request)
       59    0.001    0.000   28.592    0.485 postgres_operations.py:187(get_subset_not_already_in_column)
  1255883    0.732    0.000   27.604    0.000 encoding.py:207(encode)
     9410    0.006    0.000   26.233    0.003 multicall.py:20(get_args)
     9410    0.048    0.000   26.227    0.003 multicall.py:23(<listcomp>)
   238696    0.044    0.000   26.180    0.000 call.py:52(data)
       66    0.000    0.000   26.146    0.396 session.py:2305(execute)
       66    0.001    0.000   26.146    0.396 session.py:2138(_execute_internal)
        9    0.007    0.001   25.247    2.805 update_destination_token_values_tables.py:128(_determine_what_blocks_are_needed)
   248106    0.062    0.000   25.182    0.000 encoding.py:619(<genexpr>)
    48415   24.557    0.001   24.557    0.001 {method 'read' of '_ssl._SSLSocket' objects}
     1219    0.002    0.000   24.250    0.020 socket.py:691(readinto)
     1219    0.002    0.000   24.247    0.020 ssl.py:1296(recv_into)
     1219    0.002    0.000   24.244    0.020 ssl.py:1154(read)
        9    0.001    0.000   23.680    2.631 tokemak_subgraph.py:143(fetch_autopool_rebalance_events_from_subgraph)
       54    0.001    0.000   23.589    0.437 api.py:103(post)
       18    0.002    0.000   23.169    1.287 tokemak_subgraph.py:25(run_query_with_paginate)
        1    0.001    0.001   20.938   20.938 update_transactions_table_for_gas_costs.py:101(update_tokemak_EOA_gas_costs_based_on_highest_block_already_fetched)
  2252824    1.392    0.000   20.176    0.000 address.py:50(to_normalized_address)
    18820    0.110    0.000   19.990    0.001 encoding.py:605(validate_value)
  1546260    0.561    0.000   18.744    0.000 crypto.py:8(keccak)
      139    0.004    0.000   18.172    0.131 connection.py:485(getresponse)
      139    0.001    0.000   18.150    0.131 client.py:1331(getresponse)
      139    0.002    0.000   18.146    0.131 client.py:311(begin)
      139    0.001    0.000   18.133    0.130 connectionpool.py:1085(_validate_conn)
       90    0.003    0.000   18.133    0.201 connection.py:669(connect)
     2328    0.002    0.000   18.124    0.008 {method 'readline' of '_io.BufferedReader' objects}
      139    0.003    0.000   18.109    0.130 client.py:278(_read_status)
    26774   17.266    0.001   17.266    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000   15.156   15.156 update_autopool_destination_states_table.py:157(ensure_autopool_destination_states_are_current)
        9    0.000    0.000   15.156    1.684 update_autopool_destination_states_table.py:60(_fetch_and_insert_new_autopool_destination_states)
      193    0.000    0.000   14.996    0.078 base.py:3251(connect)
  194/193    0.003    0.000   14.995    0.078 base.py:132(__init__)
      193    0.000    0.000   14.986    0.078 base.py:3276(raw_connection)
      193    0.000    0.000   14.985    0.078 base.py:441(connect)
      193    0.003    0.000   14.985    0.078 base.py:1256(_checkout)
        4    0.001    0.000   14.977    3.744 update_transactions.py:96(ensure_all_transactions_are_saved_in_db)
        1    0.000    0.000   14.821   14.821 block_timestamp.py:71(ensure_blocks_is_current)
        3    0.000    0.000   14.820    4.940 block_timestamp.py:55(determine_what_days_have_highest_block_found)
       42   14.670    0.349   14.673    0.349 {method 'copy_expert' of 'psycopg2.extensions.cursor' objects}
  1546260    0.816    0.000   13.974    0.000 main.py:38(__call__)
        1    0.003    0.003   13.661   13.661 update_destinations_tokens_and_autopoolDestinations_table.py:158(ensure__destinations__tokens__and__destination_tokens_are_current)
1562873/1562785    3.529    0.000   13.623    0.000 {method 'join' of 'str' objects}
  2252824    1.334    0.000   13.593    0.000 conversions.py:144(hexstr_if_str)
      192    0.001    0.000   13.499    0.070 default.py:718(_do_ping_w_event)
      192    0.002    0.000   13.498    0.070 _psycopg_common.py:173(do_ping)
  3846650    2.575    0.000   13.378    0.000 decorators.py:68(wrapper)
        9    0.001    0.000   12.955    1.439 tokemak_subgraph.py:113(_fetch_tx_hash_to_swap_cost_offset)
  1546260    0.612    0.000   12.563    0.000 pycryptodome.py:36(keccak256)
       17    0.000    0.000   12.182    0.717 postgres_operations.py:216(get_full_table_as_df)
