         583042090 function calls (571435454 primitive calls) in 567.813 seconds

   Ordered by: cumulative time
   List reduced from 4976 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.003    0.001  568.058  568.058 constants.py:269(wrapper)
        1    0.002    0.002  568.058  568.058 ensure_all_tables_are_current.py:63(ensure_database_is_current)
        1    0.024    0.024  269.326  269.326 update_destination_token_values_tables.py:370(ensure_destination_token_values_are_current)
        9    0.034    0.004  269.279   29.920 update_destination_token_values_tables.py:355(_fetch_and_insert_destination_token_values)
       85    0.000    0.000  241.852    2.845 nest_asyncio.py:25(run)
       85    0.050    0.001  241.849    2.845 nest_asyncio.py:86(run_until_complete)
    64579    0.908    0.000  241.787    0.004 nest_asyncio.py:100(_run_once)
       72    0.000    0.000  238.460    3.312 get_state_by_block.py:73(get_raw_state_by_blocks)
      862  147.959    0.172  147.978    0.172 {method 'execute' of 'psycopg2.extensions.cursor' objects}
        9    0.000    0.000  130.972   14.552 update_destination_token_values_tables.py:297(_fetch_destination_token_values_not_idle)
    64579    0.219    0.000  127.850    0.002 selectors.py:554(select)
   107571  127.630    0.001  127.630    0.001 {method 'control' of 'select.kqueue' objects}
        9    0.000    0.000  122.055   13.562 update_destination_token_values_tables.py:106(_fetch_destination_token_value_data_from_external_source)
   846726    0.269    0.000  112.513    0.000 events.py:78(_run)
   846726    0.208    0.000  112.244    0.000 {method 'run' of '_contextvars.Context' objects}
   384929    0.606    0.000  101.692    0.000 tasks.py:215(__step)
   383760    0.109    0.000  100.165    0.000 {method 'send' of 'coroutine' objects}
      295    0.002    0.000   94.437    0.320 base.py:1788(_execute_context)
      295    0.006    0.000   94.410    0.320 base.py:1847(_exec_single_context)
      295    0.001    0.000   94.331    0.320 default.py:944(do_execute)
        9    0.000    0.000   94.097   10.455 update_destination_token_values_tables.py:315(_fetch_destination_token_values_idle)
      291    0.001    0.000   94.013    0.323 elements.py:514(_execute_on_connection)
      291    0.003    0.000   94.012    0.323 base.py:1588(_execute_clauseelement)
      193    0.001    0.000   93.963    0.487 base.py:1372(execute)
    79957    0.087    0.000   90.587    0.001 multicall.py:78(fetch_outputs)
    87439    0.102    0.000   89.775    0.001 get_state_by_block.py:143(_fetch_data)
   274580    0.097    0.000   84.840    0.000 utils.py:77(run_in_subprocess)
        1    0.003    0.003   84.174   84.174 update_rebalance_events.py:144(ensure_rebalance_events_are_current)
      166    0.002    0.000   75.356    0.454 sessions.py:500(request)
      166    0.003    0.000   75.204    0.453 sessions.py:673(send)
   254267    0.086    0.000   73.820    0.000 signature.py:73(encode_data)
   114923    0.097    0.000   73.703    0.001 codec.py:94(encode)
1898366/114938    0.426    0.000   73.186    0.001 encoding.py:97(__call__)
359042/114923    1.077    0.000   73.146    0.001 encoding.py:138(encode)
       98    0.025    0.000   72.438    0.739 sql.py:570(read_sql)
       96    0.020    0.000   69.482    0.724 postgres_operations.py:101(insert_avoid_conflicts)
        1    0.015    0.015   69.257   69.257 update_transactions_table_for_gas_costs.py:136(update_tokemak_EOA_gas_costs_from_0)
       93    0.007    0.000   68.692    0.739 postgres_operations.py:115(bulk_copy_skip_duplicates)
      114    0.001    0.000   68.609    0.602 api.py:14(request)
    88798    0.062    0.000   68.154    0.001 tasks.py:302(__wakeup)
      179    0.003    0.000   65.371    0.365 connectionpool.py:592(urlopen)
      179    0.003    0.000   65.338    0.365 connectionpool.py:377(_make_request)
3871409/2344309    1.193    0.000   62.157    0.000 address.py:35(is_address)
      166    0.002    0.000   61.069    0.368 adapters.py:613(send)
  1531620    0.283    0.000   60.607    0.000 encoding.py:469(validate_value)
    69807    0.032    0.000   60.495    0.001 eth_retry.py:78(auto_retry_wrap_async)
    69808    0.063    0.000   60.339    0.001 call.py:108(coroutine)
       75    0.002    0.000   57.435    0.766 postgres_operations.py:27(merge_tables_as_df)
       75    0.001    0.000   57.411    0.765 postgres_operations.py:92(_exec_sql_and_cache)
  1617769    2.316    0.000   57.252    0.000 address.py:106(to_checksum_address)
  1557721    0.901    0.000   57.044    0.000 address.py:128(is_checksum_address)
       98    0.001    0.000   56.577    0.577 sql.py:1779(read_query)
    54768   55.746    0.001   55.746    0.001 {method 'read' of '_ssl._SSLSocket' objects}
       98    0.000    0.000   55.724    0.569 sql.py:1655(execute)
     3507    0.005    0.000   55.421    0.016 socket.py:691(readinto)
     3507    0.004    0.000   55.413    0.016 ssl.py:1296(recv_into)
     3507    0.004    0.000   55.408    0.016 ssl.py:1154(read)
       74    0.002    0.000   53.905    0.728 postgres_operations.py:187(get_subset_not_already_in_column)
       10    0.003    0.000   48.575    4.857 update_transactions.py:96(ensure_all_transactions_are_saved_in_db)
    10151    0.010    0.000   47.058    0.005 call.py:130(prep_args)
       95    0.000    0.000   45.291    0.477 session.py:2305(execute)
       95    0.001    0.000   45.291    0.477 session.py:2138(_execute_internal)
       54    0.001    0.000   43.961    0.814 api.py:62(get)
       18    0.005    0.000   43.611    2.423 get_transactions_etherscan.py:64(get_all_transactions_sent_by_eoa_address)
847280/603161    0.905    0.000   42.261    0.000 encoding.py:115(validate_value)
    20/18    0.002    0.000   42.253    2.347 get_transactions_etherscan.py:47(_get_normal_transactions_from_etherscan_recursive)
       20    0.003    0.000   42.240    2.112 get_transactions_etherscan.py:15(_fetch_pages)
      179    0.004    0.000   39.030    0.218 connection.py:485(getresponse)
     3468    0.003    0.000   39.009    0.011 {method 'readline' of '_io.BufferedReader' objects}
      179    0.001    0.000   39.005    0.218 client.py:1331(getresponse)
      179    0.003    0.000   39.000    0.218 client.py:311(begin)
      179    0.003    0.000   38.956    0.218 client.py:278(_read_status)
