         572799615 function calls (561347351 primitive calls) in 468.619 seconds

   Ordered by: cumulative time
   List reduced from 4971 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.000  468.901  468.901 constants.py:270(wrapper)
        1    0.002    0.002  468.901  468.901 ensure_all_tables_are_current.py:64(ensure_database_is_current)
        1    0.028    0.028  286.495  286.495 update_destination_token_values_tables.py:371(ensure_destination_token_values_are_current)
        9    0.030    0.003  286.441   31.827 update_destination_token_values_tables.py:355(_fetch_and_insert_destination_token_values)
       65    0.000    0.000  259.190    3.988 nest_asyncio.py:25(run)
       65    0.054    0.001  259.187    3.987 nest_asyncio.py:86(run_until_complete)
    58209    1.040    0.000  259.120    0.004 nest_asyncio.py:100(_run_once)
       52    0.000    0.000  255.673    4.917 get_state_by_block.py:73(get_raw_state_by_blocks)
        9    0.000    0.000  173.899   19.322 update_destination_token_values_tables.py:297(_fetch_destination_token_values_not_idle)
        9    0.000    0.000  164.257   18.251 update_destination_token_values_tables.py:106(_fetch_destination_token_value_data_from_external_source)
    58209    0.241    0.000  130.694    0.002 selectors.py:554(select)
   100346  130.460    0.001  130.460    0.001 {method 'control' of 'select.kqueue' objects}
   829773    0.313    0.000  126.805    0.000 events.py:78(_run)
   829773    0.242    0.000  126.492    0.000 {method 'run' of '_contextvars.Context' objects}
   378758    0.695    0.000  114.785    0.000 tasks.py:215(__step)
   377018    0.129    0.000  113.002    0.000 {method 'send' of 'coroutine' objects}
      631  112.758    0.179  112.771    0.179 {method 'execute' of 'psycopg2.extensions.cursor' objects}
    77339    0.105    0.000  101.995    0.001 multicall.py:78(fetch_outputs)
    84502    0.124    0.000  101.107    0.001 get_state_by_block.py:143(_fetch_data)
   271189    0.114    0.000   95.009    0.000 utils.py:77(run_in_subprocess)
   251850    0.103    0.000   82.647    0.000 signature.py:73(encode_data)
   113886    0.117    0.000   82.505    0.001 codec.py:94(encode)
1900791/113901    0.478    0.000   81.889    0.001 encoding.py:97(__call__)
359080/113886    1.273    0.000   81.845    0.001 encoding.py:138(encode)
      252    0.002    0.000   80.116    0.318 base.py:1788(_execute_context)
      252    0.005    0.000   80.089    0.318 base.py:1847(_exec_single_context)
      252    0.000    0.000   80.019    0.318 default.py:944(do_execute)
      248    0.001    0.000   79.694    0.321 elements.py:514(_execute_on_connection)
      248    0.003    0.000   79.693    0.321 base.py:1588(_execute_clauseelement)
      161    0.001    0.000   79.642    0.495 base.py:1372(execute)
    86427    0.069    0.000   76.241    0.001 tasks.py:302(__wakeup)
        9    0.000    0.000   74.749    8.305 update_destination_token_values_tables.py:315(_fetch_destination_token_values_idle)
3835072/2305906    1.328    0.000   69.307    0.000 address.py:35(is_address)
    67676    0.041    0.000   68.579    0.001 eth_retry.py:78(auto_retry_wrap_async)
       87    0.031    0.000   68.313    0.785 sql.py:570(read_sql)
    67707    0.079    0.000   68.251    0.001 call.py:108(coroutine)
  1533670    0.321    0.000   67.688    0.000 encoding.py:469(validate_value)
  1558416    1.030    0.000   63.727    0.000 address.py:128(is_checksum_address)
  1580040    2.619    0.000   62.570    0.000 address.py:106(to_checksum_address)
       69    0.001    0.000   55.906    0.810 postgres_operations.py:92(_exec_sql_and_cache)
       68    0.002    0.000   55.626    0.818 postgres_operations.py:27(merge_tables_as_df)
       87    0.001    0.000   54.350    0.625 sql.py:1779(read_query)
       87    0.000    0.000   53.329    0.613 sql.py:1655(execute)
     9694    0.013    0.000   52.916    0.005 call.py:130(prep_args)
        1    0.003    0.003   48.491   48.491 update_rebalance_events.py:144(ensure_rebalance_events_are_current)
849468/604274    1.016    0.000   47.102    0.000 encoding.py:115(validate_value)
     9694    0.017    0.000   41.012    0.004 encoding.py:720(encode)
     9694    0.084    0.000   40.947    0.004 encoding.py:615(encode_elements)
       56    0.018    0.000   38.561    0.689 postgres_operations.py:101(insert_avoid_conflicts)
       54    0.006    0.000   37.733    0.699 postgres_operations.py:115(bulk_copy_skip_duplicates)
      140    0.002    0.000   35.163    0.251 connectionpool.py:592(urlopen)
      140    0.002    0.000   35.138    0.251 connectionpool.py:377(_make_request)
      127    0.001    0.000   35.020    0.276 sessions.py:500(request)
      127    0.002    0.000   34.893    0.275 sessions.py:673(send)
       62    0.001    0.000   33.521    0.541 postgres_operations.py:187(get_subset_not_already_in_column)
       74    0.000    0.000   31.729    0.429 session.py:2305(execute)
       74    0.001    0.000   31.728    0.429 session.py:2138(_execute_internal)
  1286823    0.855    0.000   31.621    0.000 encoding.py:207(encode)
      127    0.002    0.000   31.057    0.245 adapters.py:613(send)
        9    0.003    0.000   30.874    3.430 update_rebalance_events.py:115(_load_raw_rebalance_event_df)
     9663    0.007    0.000   29.872    0.003 multicall.py:20(get_args)
     9663    0.064    0.000   29.864    0.003 multicall.py:23(<listcomp>)
   242156    0.056    0.000   29.800    0.000 call.py:52(data)
       75    0.001    0.000   28.990    0.387 api.py:14(request)
   254888    0.071    0.000   28.948    0.000 encoding.py:619(<genexpr>)
        9    0.007    0.001   26.224    2.914 update_destination_token_values_tables.py:128(_determine_what_blocks_are_needed)
    49731   23.736    0.000   23.736    0.000 {method 'read' of '_ssl._SSLSocket' objects}
     1261    0.002    0.000   23.375    0.019 socket.py:691(readinto)
     1261    0.002    0.000   23.372    0.019 ssl.py:1296(recv_into)
     1261    0.002    0.000   23.369    0.019 ssl.py:1154(read)
  2301402    1.568    0.000   23.148    0.000 address.py:50(to_normalized_address)
