         570304043 function calls (558903162 primitive calls) in 525.990 seconds

   Ordered by: cumulative time
   List reduced from 4935 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.003    0.001  526.244  526.244 constants.py:270(wrapper)
        1    0.002    0.002  526.244  526.244 ensure_all_tables_are_current.py:63(ensure_database_is_current)
        1    0.025    0.025  244.745  244.745 update_destination_token_values_tables.py:370(ensure_destination_token_values_are_current)
        9    0.032    0.004  244.698   27.189 update_destination_token_values_tables.py:355(_fetch_and_insert_destination_token_values)
       79    0.000    0.000  224.250    2.839 nest_asyncio.py:25(run)
       79    0.047    0.001  224.247    2.839 nest_asyncio.py:86(run_until_complete)
    60388    0.893    0.000  224.186    0.004 nest_asyncio.py:100(_run_once)
       66    0.000    0.000  220.930    3.347 get_state_by_block.py:73(get_raw_state_by_blocks)
      784  130.526    0.166  130.543    0.167 {method 'execute' of 'psycopg2.extensions.cursor' objects}
        9    0.000    0.000  129.957   14.440 update_destination_token_values_tables.py:297(_fetch_destination_token_values_not_idle)
        9    0.000    0.000  121.263   13.474 update_destination_token_values_tables.py:106(_fetch_destination_token_value_data_from_external_source)
    60388    0.208    0.000  113.206    0.002 selectors.py:554(select)
   102541  112.999    0.001  112.999    0.001 {method 'control' of 'select.kqueue' objects}
   830934    0.271    0.000  109.590    0.000 events.py:78(_run)
   830934    0.201    0.000  109.319    0.000 {method 'run' of '_contextvars.Context' objects}
   377458    0.585    0.000   99.136    0.000 tasks.py:215(__step)
   376432    0.105    0.000   97.648    0.000 {method 'send' of 'coroutine' objects}
    78734    0.083    0.000   88.168    0.001 multicall.py:78(fetch_outputs)
    86039    0.131    0.000   87.371    0.001 get_state_by_block.py:143(_fetch_data)
      277    0.002    0.000   85.532    0.309 base.py:1788(_execute_context)
      277    0.006    0.000   85.503    0.309 base.py:1847(_exec_single_context)
      277    0.000    0.000   85.427    0.308 default.py:944(do_execute)
      273    0.001    0.000   85.107    0.312 elements.py:514(_execute_on_connection)
      273    0.003    0.000   85.106    0.312 base.py:1588(_execute_clauseelement)
      181    0.001    0.000   85.056    0.470 base.py:1372(execute)
   269096    0.094    0.000   82.511    0.000 utils.py:77(run_in_subprocess)
        9    0.000    0.000   77.604    8.623 update_destination_token_values_tables.py:315(_fetch_destination_token_values_idle)
      162    0.002    0.000   76.782    0.474 sessions.py:500(request)
      162    0.003    0.000   76.625    0.473 sessions.py:673(send)
        1    0.015    0.015   72.586   72.586 update_transactions_table_for_gas_costs.py:136(update_tokemak_EOA_gas_costs_from_0)
   249051    0.083    0.000   71.707    0.000 signature.py:73(encode_data)
   112202    0.095    0.000   71.594    0.001 codec.py:94(encode)
1858083/112217    0.412    0.000   71.095    0.001 encoding.py:97(__call__)
351237/112202    1.047    0.000   71.058    0.001 encoding.py:138(encode)
      110    0.001    0.000   70.707    0.643 api.py:14(request)
       92    0.024    0.000   70.106    0.762 sql.py:570(read_sql)
    87240    0.060    0.000   66.404    0.001 tasks.py:302(__wakeup)
      175    0.003    0.000   66.320    0.379 connectionpool.py:592(urlopen)
      175    0.003    0.000   66.289    0.379 connectionpool.py:377(_make_request)
        1    0.003    0.003   62.585   62.585 update_rebalance_events.py:144(ensure_rebalance_events_are_current)
      162    0.002    0.000   62.269    0.384 adapters.py:613(send)
3787590/2293764    1.176    0.000   60.414    0.000 address.py:35(is_address)
    68718    0.033    0.000   59.045    0.001 eth_retry.py:78(auto_retry_wrap_async)
    68718    0.063    0.000   58.995    0.001 call.py:108(coroutine)
  1498250    0.288    0.000   58.907    0.000 encoding.py:469(validate_value)
    54273   56.798    0.001   56.798    0.001 {method 'read' of '_ssl._SSLSocket' objects}
       72    0.002    0.000   56.606    0.786 postgres_operations.py:27(merge_tables_as_df)
       72    0.001    0.000   56.582    0.786 postgres_operations.py:92(_exec_sql_and_cache)
     3546    0.005    0.000   56.495    0.016 socket.py:691(readinto)
     3546    0.005    0.000   56.487    0.016 ssl.py:1296(recv_into)
     3546    0.004    0.000   56.482    0.016 ssl.py:1154(read)
  1582491    2.303    0.000   55.777    0.000 address.py:106(to_checksum_address)
  1524042    0.917    0.000   55.408    0.000 address.py:128(is_checksum_address)
       92    0.001    0.000   55.070    0.599 sql.py:1779(read_query)
       84    0.021    0.000   54.887    0.653 postgres_operations.py:101(insert_avoid_conflicts)
       92    0.000    0.000   54.240    0.590 sql.py:1655(execute)
       81    0.006    0.000   54.113    0.668 postgres_operations.py:115(bulk_copy_skip_duplicates)
       18    0.007    0.000   47.727    2.652 get_transactions_etherscan.py:64(get_all_transactions_sent_by_eoa_address)
       53    0.001    0.000   47.706    0.900 api.py:62(get)
    20/18    0.002    0.000   46.172    2.565 get_transactions_etherscan.py:47(_get_normal_transactions_from_etherscan_recursive)
       20    0.002    0.000   46.161    2.308 get_transactions_etherscan.py:15(_fetch_pages)
    10016    0.010    0.000   45.772    0.005 call.py:130(prep_args)
       68    0.002    0.000   44.819    0.659 postgres_operations.py:187(get_subset_not_already_in_column)
829307/590272    0.844    0.000   40.976    0.000 encoding.py:115(validate_value)
      175    0.004    0.000   40.008    0.229 connection.py:485(getresponse)
     3516    0.003    0.000   40.007    0.011 {method 'readline' of '_io.BufferedReader' objects}
      175    0.001    0.000   39.984    0.228 client.py:1331(getresponse)
      175    0.002    0.000   39.979    0.228 client.py:311(begin)
      175    0.003    0.000   39.935    0.228 client.py:278(_read_status)
       89    0.000    0.000   37.457    0.421 session.py:2305(execute)
       89    0.001    0.000   37.457    0.421 session.py:2138(_execute_internal)
        7    0.002    0.000   36.157    5.165 update_transactions.py:96(ensure_all_transactions_are_saved_in_db)
    10016    0.015    0.000   35.551    0.004 encoding.py:720(encode)
    10016    0.070    0.000   35.497    0.004 encoding.py:615(encode_elements)
        9    0.003    0.000   31.305    3.478 update_rebalance_events.py:115(_load_raw_rebalance_event_df)
  1257795    0.719    0.000   27.451    0.000 encoding.py:207(encode)
        1    0.001    0.001   26.907   26.907 update_destination_states_from_rebalance_plan.py:228(ensure_destination_states_from_rebalance_plan_are_current)
      175    0.001    0.000   26.242    0.150 connectionpool.py:1085(_validate_conn)
      126    0.003    0.000   26.241    0.208 connection.py:669(connect)
    10016    0.006    0.000   26.040    0.003 multicall.py:20(get_args)
    10016    0.045    0.000   26.034    0.003 multicall.py:23(<listcomp>)
   239035    0.044    0.000   25.989    0.000 call.py:52(data)
        9    0.006    0.001   25.897    2.877 update_destination_token_values_tables.py:128(_determine_what_blocks_are_needed)
   249051    0.061    0.000   25.045    0.000 encoding.py:619(<genexpr>)
       57    0.001    0.000   23.002    0.404 api.py:103(post)
    28978   22.781    0.001   22.781    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        9    0.000    0.000   22.554    2.506 tokemak_subgraph.py:143(fetch_autopool_rebalance_events_from_subgraph)
      269    0.001    0.000   22.074    0.082 threading.py:288(wait)
     4001   22.074    0.006   22.074    0.006 {method 'acquire' of '_thread.lock' objects}
       18    0.003    0.000   22.058    1.225 tokemak_subgraph.py:25(run_query_with_paginate)
       14    0.002    0.000   21.239    1.517 block_timestamp.py:164(ensure_all_blocks_are_in_table)
      263    0.000    0.000   20.952    0.080 base.py:3251(connect)
  264/263    0.003    0.000   20.952    0.080 base.py:132(__init__)
      263    0.000    0.000   20.941    0.080 base.py:3276(raw_connection)
      263    0.001    0.000   20.940    0.080 base.py:441(connect)
      263    0.003    0.000   20.940    0.080 base.py:1256(_checkout)
  2289340    1.400    0.000   20.532    0.000 address.py:50(to_normalized_address)
    20032    0.100    0.000   19.910    0.001 encoding.py:605(validate_value)
      262    0.001    0.000   19.622    0.075 default.py:718(_do_ping_w_event)
      262    0.002    0.000   19.621    0.075 _psycopg_common.py:173(do_ping)
        1    0.001    0.001   19.423   19.423 update_autopool_destination_states_table.py:157(ensure_autopool_destination_states_are_current)
        9    0.002    0.000   19.422    2.158 update_autopool_destination_states_table.py:60(_fetch_and_insert_new_autopool_destination_states)
       73    0.000    0.000   19.243    0.264 threading.py:589(wait)
       50    0.000    0.000   19.230    0.385 _base.py:201(as_completed)
  1584129    0.578    0.000   19.131    0.000 crypto.py:8(keccak)
        1    0.002    0.002   19.096   19.096 update_rebalance_plans.py:236(ensure_rebalance_plans_table_are_current)
        1    0.000    0.000   18.518   18.518 block_timestamp.py:71(ensure_blocks_is_current)
      126    0.003    0.000   16.994    0.135 connection.py:846(_ssl_wrap_socket_and_match_hostname)
      126    0.000    0.000   16.985    0.135 ssl_.py:390(ssl_wrap_socket)
      126    0.000    0.000   16.871    0.134 ssl_.py:488(_ssl_wrap_socket_impl)
      126    0.001    0.000   16.871    0.134 ssl.py:507(wrap_socket)
      126    0.003    0.000   16.870    0.134 ssl.py:1014(_create)
      126    0.001    0.000   16.857    0.134 ssl.py:1368(do_handshake)
   383413    0.063    0.000   16.809    0.000 {method 'join' of 'bytes' objects}
     2986    0.002    0.000   16.744    0.006 response.py:1044(stream)
3866/3795    0.014    0.000   16.506    0.004 {method 'read' of '_io.BufferedReader' objects}
       81   16.105    0.199   16.110    0.199 {method 'copy_expert' of 'psycopg2.extensions.cursor' objects}
      434    0.001    0.000   14.346    0.033 models.py:890(content)
     2588    0.002    0.000   14.330    0.006 models.py:816(generate)
  1584129    0.832    0.000   14.263    0.000 main.py:38(__call__)
        1    0.003    0.003   14.068   14.068 update_destinations_tokens_and_autopoolDestinations_table.py:158(ensure__destinations__tokens__and__destination_tokens_are_current)
1604455/1604364    3.641    0.000   13.965    0.000 {method 'join' of 'str' objects}
  2289340    1.350    0.000   13.878    0.000 conversions.py:144(hexstr_if_str)
  3924154    2.634    0.000   13.686    0.000 decorators.py:68(wrapper)
        3    0.000    0.000   13.564    4.521 block_timestamp.py:55(determine_what_days_have_highest_block_found)
       20    0.000    0.000   13.547    0.677 postgres_operations.py:216(get_full_table_as_df)
  848/342    0.003    0.000   13.206    0.039 state_changes.py:95(_go)
     2560    0.006    0.000   12.959    0.005 response.py:1173(read_chunked)
  1584129    0.649    0.000   12.828    0.000 pycryptodome.py:36(keccak256)
      335    0.002    0.000   12.744    0.038 util.py:129(__exit__)
     2501    0.004    0.000   12.740    0.005 response.py:1151(_handle_chunk)
