,All Time APY,30 Day APY,Yield Volatility,Excess APY vs Benchmark,30 Day Excess vs Benchmark,Information Ratio
wstETH_eth_price,2.79%,1.0%,0.34%,0.0%,0.0%,
autoETH,1.1%,-35.64%,4.06%,-1.69%,-36.64%,-0.13
WETH_aave,2.02%,1.6%,0.11%,-0.77%,0.6%,-0.56
iETH_v2_eth_price,4.94%,3.82%,0.59%,2.15%,2.82%,1.38
