,buy_amount_price,min_buy_amount_price,buy_symbol,sell_symbol,datetime_received,aggregatorName
9,0.9977584636714424,0.9974092482091573,GHO,frxUSD,2025-09-23 18:04:08.278337+00:00,Lifi
10,0.9967241645999999,0.99637531114,USDT,frxUSD,2025-09-23 18:04:08.563390+00:00,Lifi
11,0.9989977929329842,0.9986481437054576,FRAX,frxUSD,2025-09-23 18:04:08.965987+00:00,Lifi
12,0.9975298387503989,0.9971807033068364,crvUSD,USDC,2025-09-23 18:04:09.327915+00:00,Lifi
13,0.9976134647714365,0.9972643000587665,frxUSD,USDC,2025-09-23 18:04:10.567787+00:00,Lifi
14,0.9966090807583279,0.9962602675800624,USDe,USDC,2025-09-23 18:04:11.737680+00:00,Lifi
15,0.9981413222935682,0.9977919728307655,GHO,USDC,2025-09-23 18:04:10.454270+00:00,Lifi
16,0.99708253722,0.99673355833,USDT,USDC,2025-09-23 18:04:10.751845+00:00,Lifi
17,0.9996232449010743,0.999273376765359,FRAX,USDC,2025-09-23 18:04:11.128317+00:00,Lifi
18,0.9984213744937842,0.9980719270127114,crvUSD,USDe,2025-09-23 18:04:12.086657+00:00,Lifi
19,0.9985411879266413,0.998191698510867,frxUSD,USDe,2025-09-23 18:04:13.286845+00:00,Lifi
20,0.9983738737,0.99802444284,USDC,USDe,2025-09-23 18:04:14.833335+00:00,Lifi
21,0.9989723515239222,0.9986227112008887,GHO,USDe,2025-09-23 18:04:12.650343+00:00,Lifi
22,0.99792141055,0.99757213806,USDT,USDe,2025-09-23 18:04:12.998177+00:00,Lifi
23,1.0005161373283693,1.0001659566803043,FRAX,USDe,2025-09-23 18:04:14.007753+00:00,Lifi
24,0.9968564342241625,0.9965075344721841,crvUSD,GHO,2025-09-23 18:04:15.804365+00:00,Lifi
25,0.996852576098682,0.9965036776970475,frxUSD,GHO,2025-09-23 18:04:14.120141+00:00,Lifi
26,0.9967965756399999,0.99644769684,USDC,GHO,2025-09-23 18:04:14.743584+00:00,Lifi
27,0.9959011065956954,0.9955525412083871,USDe,GHO,2025-09-23 18:04:14.963277+00:00,Lifi
28,0.99637656926,0.99602783746,USDT,GHO,2025-09-23 18:04:15.423035+00:00,Lifi
29,0.9988343714647129,0.9984847794347004,FRAX,GHO,2025-09-23 18:04:15.634375+00:00,Lifi
30,0.997962795858953,0.9976135088804026,crvUSD,USDT,2025-09-23 18:04:16.064104+00:00,Lifi
31,0.998086094429936,0.9977367642968856,frxUSD,USDT,2025-09-23 18:04:16.361871+00:00,Lifi
32,0.99795904628,0.99760976061,USDC,USDT,2025-09-23 18:04:17.489806+00:00,Lifi
33,0.997053109504064,0.9967041409157377,USDe,USDT,2025-09-23 18:04:17.492232+00:00,Lifi
34,0.9985407365950264,0.9981912473372181,GHO,USDT,2025-09-23 18:04:18.762481+00:00,Lifi
35,1.000057106840976,0.9997070868535817,FRAX,USDT,2025-09-23 18:04:17.851864+00:00,Lifi
36,0.9953880117024174,0.9950396258983217,crvUSD,FRAX,2025-09-23 18:04:18.291131+00:00,Lifi
37,0.9954712827243113,0.9951228677753579,frxUSD,FRAX,2025-09-23 18:04:18.638792+00:00,Lifi
38,0.99529762432,0.9949492701499999,USDC,FRAX,2025-09-23 18:04:19.003385+00:00,Lifi
39,0.9943994384894673,0.9940513986859959,USDe,FRAX,2025-09-23 18:04:19.816172+00:00,Lifi
40,0.9958101270713998,0.9954615935269246,GHO,FRAX,2025-09-23 18:04:21.557864+00:00,Lifi
41,0.99486673815,0.99451853479,USDT,FRAX,2025-09-23 18:04:20.223306+00:00,Lifi
0,0.9974521005545341,0.99710299231934,frxUSD,crvUSD,2025-09-23 18:05:24.698125+00:00,Lifi
1,0.9973817615499999,0.99703267793,USDC,crvUSD,2025-09-23 18:05:24.855591+00:00,Lifi
2,0.9964604757447941,0.9961117145782834,USDe,crvUSD,2025-09-23 18:05:24.709879+00:00,Lifi
3,0.9979837625941381,0.9976344682772302,GHO,crvUSD,2025-09-23 18:05:24.850910+00:00,Lifi
4,0.9969729975799999,0.99662405703,USDT,crvUSD,2025-09-23 18:05:24.633880+00:00,Lifi
5,0.9994089093520662,0.9990591162337928,FRAX,crvUSD,2025-09-23 18:05:24.755467+00:00,Lifi
6,0.9972353912195143,0.9968863588325872,crvUSD,frxUSD,2025-09-23 18:05:24.842907+00:00,Lifi
7,0.997140782,0.99679178273,USDC,frxUSD,2025-09-23 18:05:24.627767+00:00,Lifi
