,All Time APY,30 Day APY,Yield Volatility,Excess APY vs Benchmark,30 Day Excess vs Benchmark,Information Ratio
wstETH_eth_price,2.8%,1.68%,0.3%,0.0%,0.0%,
autoETH,1.42%,3.95%,3.72%,-1.38%,2.27%,-0.11
WETH_aave,1.94%,1.2%,0.11%,-0.86%,-0.48%,-0.7
iETH_v2_eth_price,5.02%,4.47%,0.56%,2.22%,2.79%,1.47
